Index,Title,Authors,Year,Venue,Citations,DOI,Download Status,File Path,Sections Used In,Access Suggestions
1,Marketing Management,Philip Kotler and Kevin Lane Keller,2009,,108412,,✓ Downloaded,workflow3_test_10papers_prompt/Kevin_Lane_Keller_papers/001_marketing_management.pdf,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,
2,"Conceptualizing, measuring, and managing customer-based brand equity",Kevin Lane Keller,1993,,31941,,✗ Not Available,,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,"Publisher: https://journals.sagepub.com/doi/abs/10.1177/002224299305700101 | Scholar: https://journals.sagepub.com/doi/abs/10.1177/002224299305700101 | Consider: institutional library access, interlibrary loan, or author contact"
3,"Marketing management: Analysis, planning, implementation and control",Philip Kotler,1997,,31874,,✗ Not Available,,bibliography; evolution_ideas; executive_summary; personality_profile; research_methodology,"Publisher: https://cir.nii.ac.jp/crid/1130282272862355584 | Scholar: https://cir.nii.ac.jp/crid/1130282272862355584 | Consider: institutional library access, interlibrary loan, or author contact"
4,"Strategic brand management: Building, measuring, and managing brand equity",Kevin Lane Keller and MG Parameswaran and Isaac Jacob,2010,,29671,,✗ Not Available,,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,"Publisher: https://scholar.google.com/scholar?cluster=18421679666085132135&hl=en&oi=scholarr | Scholar: https://scholar.google.com/scholar?cluster=18421679666085132135&hl=en&oi=scholarr | Consider: institutional library access, interlibrary loan, or author contact"
5,Administração de marketing,Kevin Lane Keller and Alexander Cherney,2024,,20428,,✗ Not Available,,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,"Publisher: https://books.google.com/books?hl=en&lr=&id=FTsAEQAAQBAJ&oi=fnd&pg=PA13&dq=info:ohuTovwRGk8J:scholar.google.com&ots=k0yP_e-qQx&sig=GMwlLQNezOVnhG-FCztAeYkdg60 | Scholar: https://books.google.com/books?hl=en&lr=&id=FTsAEQAAQBAJ&oi=fnd&pg=PA13&dq=info:ohuTovwRGk8J:scholar.google.com&ots=k0yP_e-qQx&sig=GMwlLQNezOVnhG-FCztAeYkdg60 | Consider: institutional library access, interlibrary loan, or author contact"
6,"Manajemen pemasaran, edisi 13",Philip Kotler and Kevin Lane Keller,2009,,11606,,✗ Not Available,,bibliography; domain_expertise; intellectual_profile; personality_profile; professional_background; thought_leadership,"Publisher: https://scholar.google.com/scholar?cluster=4942334718108553040&hl=en&oi=scholarr | Scholar: https://scholar.google.com/scholar?cluster=4942334718108553040&hl=en&oi=scholarr | Consider: institutional library access, interlibrary loan, or author contact"
7,Marketing for hospitality and tourism,Philip Kotler,2022,,8418,,✗ Not Available,,bibliography; research_methodology,"Publisher: http://thuvienso.thanglong.edu.vn/handle/TLU/3710 | Scholar: http://thuvienso.thanglong.edu.vn/handle/TLU/3710 | Consider: institutional library access, interlibrary loan, or author contact"
8,Consumer evaluations of brand extensions,David A Aaker and Kevin Lane Keller,1990,,7110,,✗ Not Available,,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,"Publisher: https://journals.sagepub.com/doi/abs/10.1177/002224299005400102 | Scholar: https://journals.sagepub.com/doi/abs/10.1177/002224299005400102 | Consider: institutional library access, interlibrary loan, or author contact"
9,A Framework for Marketing Management,Philip Kotler and Kevin Lane Keller,Unknown,,7082,,✗ Not Available,,,"Consider: institutional library access, interlibrary loan, or author contact"
10,Dirección de marketing,Philip Kotler and Kevin Lane Keller,2006,,6899,,✗ Not Available,,bibliography; collaboration_network; domain_expertise; evolution_ideas; executive_summary; intellectual_profile; personality_profile; professional_background; research_methodology; thought_leadership,"Publisher: https://books.google.com/books?hl=en&lr=&id=CoHT8SmJVDQC&oi=fnd&pg=PP33&dq=info:rwndA_fj644J:scholar.google.com&ots=l7xGRtCHZr&sig=gHiD-k9zEMcHRbiY54YaeGkqHb0 | Scholar: https://books.google.com/books?hl=en&lr=&id=CoHT8SmJVDQC&oi=fnd&pg=PP33&dq=info:rwndA_fj644J:scholar.google.com&ots=l7xGRtCHZr&sig=gHiD-k9zEMcHRbiY54YaeGkqHb0 | Consider: institutional library access, interlibrary loan, or author contact"
